UniteM Bin ID	Contig ID	No. Matched Bins	No. Unmatched Bins	No. Degenerate Bins	No. Unbinned	maxbin_ms107	maxbin_ms40	metabat2	metabat_specific	metabat_superspecific	metabat_verysensitive
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2961	1	2	1	2	matched,max107.002,100.0,0.0	degenerate,max40.003,0.0,0.0	unmatched,mb2.9,92.9,3.5	unmatched,mb_specific.1,92.9,3.5	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_946	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2872	1	1	0	4	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_739	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2885	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_967	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_3152	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1610	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2202	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2025	1	1	0	4	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1242	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1198	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1737	1	2	0	3	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2971	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1451	1	0	1	4	matched,max107.002,100.0,0.0	degenerate,max40.003,0.0,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_183	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1329	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
